"kigo","yomigana","kyukana","bodai"
"汗拭ひ","あせぬぐい","あせぬぐひ","[""ハンカチーフ"",""ハンカチ"",""汗ふき"",""汗手拭""]"
"汗疹","あせも","","[""あせぼ""]"
"暑し","あつし","","[""暑さ"",""暑"",""暑気"",""炎暑"",""炎ゆ"",""熱帯夜""]"
"穴子","あなご","","[""海鰻"",""うみうなぎ""]"
"油照","あぶらでり","","[""脂照""]"
"雨蛙","あまがえる","あまがへる","[""枝蛙"",""青蛙"",""夏蛙""]"
"雨乞","あまごい","あまごひ","[""祈雨"",""雨の祈""]"
"甘酒","あまざけ","","[""一夜酒""]"
"アマリリス","あまりりす","","[""""]"
"網戸","あみど","","[""網障子""]"
"飴湯","あめゆ","","[""冷し飴""]"
"水馬","あめんぼう","あめんばう","[""あめんぼ"",""みずすまし"",""水蜘蛛""]"
"あやめ","あやめ","","[""渓孫"",""花あやめ""]"
"鮎","あゆ","","[""香魚"",""年魚"",""鮎の宿""]"
"鮎釣","あゆつり","","[""鮎漁"",""囮鮎"",""鮎釣解禁"",""川明"",""鮎狩""]"
"洗膾","あらひ","","[""洗鯉"",""洗鱸"",""洗鯛"",""生作り""]"
"荒布","あらめ","","[""黒菜"",""荒布刈る"",""荒布干す""]"
"蟻","あり","","[""山蟻"",""蟻の道"",""蟻の塔"",""蟻塚"",""蟻の列"",""蟻の門渡り""]"
"蟻地獄","ありじごく","ありぢごく","[""あとすざり"",""擂鉢虫"",""あとさり虫""]"
"袷","あわせ","あはせ","[""素袷"",""初袷"",""綿抜"",""古袷""]"
"鮑","あわび","あはび","[""鮑取"",""鮑海女""]"
"安居","あんご","","[""夏安居"",""雨安居"",""夏げ"",""一夏"",""夏行"",""夏籠"",""夏断"",""夏入"",""結夏"",""解夏"",""夏百合"",""夏書"",""夏花""]"
"杏","あんず","","[""杏子"",""からもも"",""杏の実""]"
"誘蛾燈","いうがとう","","[""""]"
"烏賊釣","いかつり","","[""烏賊釣火"",""烏賊火"",""烏賊釣舟""]"
"藺刈","いかり","ゐかり","[""藺草刈"",""藺干す"",""藺車""]"
"泉","いずみ","いづみ","[""""]"
"虎杖の花","いたどりのはな","","[""紅虎杖""]"
"苺","いちご","","[""覆盆子"",""苺摘み"",""苺畑"",""草苺""]"
"鳶尾草","いちはつ","","[""一八"",""紫羅傘（いちはつ）""]"
"厳島管絃祭","いつくしまかんげんさい","いつくしまくわんげんさい","[""厳島祭""]"
"糸取","いととり","","[""糸引"",""糸取鍋"",""糸取女"",""糸取歌""]"
"糸蜻蛉","いととんぼ","","[""燈心蜻蛉"",""とうずみ蜻蛉"",""とうすみ""]"
"糸みみず","いとみみず","","[""""]"
"藺の花","いのはな","ゐのはな","[""藺草"",""燈心草"",""燈心草の花"",""藺田""]"
"ゐもり","いもり","ゐもり","[""井守"",""赤腹""]"
"岩魚","いわな","いはな","[""嘉魚"",""巌魚"",""岩魚釣""]"
"鵜","う","","[""海鵜"",""河鵜""]"
"茴香の花","ういきょうのはな","","[""""]"
"植田","うえだ","うゑだ","[""""]"
"鵜飼","うかい","うかひ","[""徒歩鵜"",""鵜匠"",""鵜遣"",""鵜縄"",""荒鵜"",""疲れ鵜"",""鵜籠"",""鵜舟"",""鵜篝""]"
"萍","うきくさ","","[""浮草"",""根無草"",""萍の花""]"
"浮巣","うきす","","[""鳰の浮巣"",""鳰の巣""]"
"浮人形","うきにんぎょう","うきにんぎやう","[""浮いて来い""]"
"薄翅蜉蝣","うすばかげろう","うすばかげろふ","[""""]"
"羅","うすもの","","[""絽"",""紗"",""軽羅"",""薄衣""]"
"打水","うちみず","うちみづ","[""水を打つ"",""水撒き""]"
"団扇","うちわ","うちは","[""白団扇"",""絵団扇"",""渋団扇"",""古団扇"",""団扇掛""]"
"空蟬","うつせみ","","[""蟬の殻"",""蟬の脱殻""]"
"靭草","うつぼぐさ","","[""空穂草"",""夏枯草""]"
"卯月","うづき","","[""卯の花月""]"
"独活の花","うどのはな","","[""""]"
"優曇華","うどんげ","","[""""]"
"鰻","うなぎ","","[""鰻""]"
"卯波","うなみ","","[""皐月波""]"
"卯の花","うのはな","","[""空木の花"",""花うつぎ"",""姫うつぎ"",""山卯木"",""卯の花垣""]"
"卯の花腐し","うのはなくたし","","[""""]"
"海亀","うみがめ","","[""""]"
"海猫","うみねこ","","[""""]"
"海の日","うみのひ","","[""海の記念日""]"
"海開き","うみびらき","","[""""]"
"海酸漿","うみほおずき","うみほほづき","[""""]"
"梅酒","うめしゅ","うめしゆ","[""梅酒"",""梅焼酎""]"
"梅干","うめぼし","","[""梅干す"",""梅漬"",""夜干の梅"",""干梅"",""梅筵"",""梅酢""]"
"瓜","うり","","[""初瓜"",""瓜作り"",""瓜畑""]"
"瓜の花","うりのはな","","[""""]"
"瓜番","うりばん","","[""瓜守"",""瓜小屋"",""瓜番小屋""]"
"瓜揉み","うりもみ","","[""瓜揉む"",""揉瓜"",""胡瓜揉み""]"
"漆掻","うるしかき","","[""漆取る""]"
"雲海","うんかい","","[""""]"
"えごの花","えごのはな","","[""山苣の花""]"
"えぞにうの花","えぞにうの花","","[""蝦夷丹生（えぞにう）の花"",""にうのはな""]"
"金雀枝","えにしだ","","[""""]"
"槐の花","えんじゅのはな","","[""花槐""]"
"炎昼","えんちゅう","えんちう","[""夏の昼""]"
"炎宙","えんちゅう","","[""""]"
"炎天","えんてん","","[""炎気"",""炎天下""]"
"豌豆","えんどう","ゑんどう","[""莢豌豆""]"
"花魁草","おいらんそう","おいらんさう","[""草夾竹桃""]"
"扇","おうぎ","あふぎ","[""扇子"",""白扇"",""絵扇"",""古扇""]"
"黄蜀葵","おうしょくき","わうしょくき","[""とろろあおい""]"
"楝の花","おうちのはな","あうちのはな","[""樗の花"",""花樗"",""栴檀の花""]"
"桜桃忌","おうとうき","あうたうき","[""太宰忌""]"
"車前草の花","おおばこのはな","おほばこのはな","[""大車前"",""おんばこ"",""かへるば""]"
"大山蓮華","おおやまれんげ","","[""天花女""]"
"大瑠璃","おおるり","おほるり","[""瑠璃""]"
"沖膾","おきなます","","[""""]"
"沖縄慰霊の日","おきなわいれいのひ","おきなはゐれいのひ","[""沖縄忌""]"
"オクラ","おくら","","[""""]"
"含羞草","おじぎそう","おじぎさう","[""眠草""]"
"御田植","おたうえ","おたうゑ","[""御田"",""神植"",""御田祭""]"
"落し文","おとしぶみ","","[""鶯のおとし文"",""時鳥の落し文""]"
"踊子草","おどりこそう","をどりこさう","[""踊草"",""踊花""]"
"お花畑","おはなばたけ","","[""お花畠""]"
"お化け屋敷","おばけやしき","","[""幽霊"",""肝試"",""怪談"",""百物語""]"
"沢瀉","おもだか","","[""花慈姑""]"
"泳ぎ","およぎ","","[""水泳"",""水練"",""遊泳"",""競泳"",""遠泳"",""ダイビング"",""浮輪""]"
"蚊","か","","[""""]"
"蚕の上蔟","かいこのあがり","かひこのあがり","[""上蔟""]"
"海水着","かいすいぎ","","[""水着"",""海水帽"",""ビキニ"",""ハイレグ""]"
"海水浴","かいすいよく","","[""潮浴び"",""海の家""]"
"夏期講習会","かきこうしゅうかい","かきかうしふくわい","[""夏期大学""]"
"燕子花","かきつばた","","[""杜若""]"
"柿の花","かきのはな","","[""""]"
"柿若葉","かきわかば","","[""""]"
"霍乱","かくらん","くわくらん","[""""]"
"籠枕","かごまくら","","[""籐枕"",""陶枕""]"
"樫若葉","かしわかば","","[""樫茂る"",""青樫""]"
"柏餅","かしわもち","かしはもち","[""""]"
"河鹿","かじか","","[""河鹿蛙"",""河鹿笛""]"
"風薫る","かぜかおる","かぜかをる","[""薫風"",""薫る風""]"
"風死す","かぜしす","","[""""]"
"片蔭","かたかげ","","[""日陰"",""片かげり""]"
"蝸牛","かたつむり","","[""蝸牛"",""ででむし"",""でんでんむし""]"
"酢漿の花","かたばみのはな","","[""酢漿草""]"
"帷子","かたびら","","[""白帷子"",""染帷子"",""黄帷子""]"
"郭公","かっこう","くわくこう","[""閑古鳥"",""かつこ鳥""]"
"河童忌","かっぱき","かつぱき","[""我鬼忌"",""龍之介忌""]"
"鰹","かつお","かつを","[""松魚"",""鰹釣"",""鰹船""]"
"蟹","かに","","[""山蟹"",""沢蟹"",""川蟹"",""磯蟹""]"
"黴","かび","","[""青黴"",""毛黴"",""麹黴"",""黴の宿"",""黴の香""]"
"兜虫","かぶとむし","","[""甲虫　さいかち虫　鍬形""]"
"南瓜の花","かぼちゃのはな","","[""""]"
"蟷螂生る","かまきりうまる","","[""蟷螂生る"",""子かまきり""]"
"髪洗う","かみあらう","かみあらふ","[""洗ひ髪"",""髪洗ふ""]"
"天牛","かみきり","","[""髪切虫"",""かみきり""]"
"雷","かみなり","","[""神鳴"",""雷"",""いかづち"",""はたた神"",""雷鳴"",""遠雷"",""軽雷"",""落雷"",""雷雨"",""日雷""]"
"亀の子","かめのこ","","[""銭亀""]"
"蚊帳","かや","","[""かや"",""枕蚊帳"",""母衣蚊帳""]"
"蚊帳吊草","かやつりぐさ","","[""""]"
"蚊遣火","かやりび","","[""蚊遣"",""蚊火"",""蚊取線香""]"
"烏瓜の花","からすうりのはな","","[""""]"
"鴉の子","からすのこ","","[""烏の子"",""子烏"",""親烏""]"
"空梅雨","からつゆ","","[""旱梅雨""]"
"軽鳧の子","かるのこ","","[""軽鴨の子""]"
"川狩","かわがり","かはがり","[""投網"",""川干"",""毒流し"",""かへぼり"",""瀬干し""]"
"翡翠","かわせみ","かはせみ","[""川蝉"",""せうびん"",""翡翠""]"
"川蜻蛉","かわとんぼ","かはとんぼ","[""おはぐろとんぼ"",""おはぐろ"",""かねつけ蜻蛉""]"
"川開","かわびらき","かはびらき","[""両国の川開""]"
"河骨","かわほね","かはほね","[""かうほね""]"
"萱草の花","かんぞうのはな","","[""ひるな"",""花萱草"",""忘草"",""藪萱草""]"
"干瓢剥く","かんぴょうむく","かんぺうむく","[""干瓢干す"",""新干瓢""]"
"カーネーション","かーねーしょん","","[""和蘭石竹""]"
"蛾","が","","[""""]"
"金銀蓮花","ががぶた","","[""鏡蓋""]"
"ががんぼ","ががんぼ","","[""蚊蜻蛉"",""蚊の姥"",""大蚊""]"
"額の花","がくのはな","","[""額紫陽花""]"
"ガタリンピック","がたりんぴっく","","[""""]"
"がまずみの花","がまずみのはな","","[""莢迷（がまずみ）の花、鎌酸実（がまずみ）の花""]"
"蒲の穂","がまのほ","","[""蒲の花"",""蒲"",""御簾草""]"
"鑑真忌","がんじんき","","[""""]"
"岩菲","がんぴ","","[""""]"
"木苺","きいちご","","[""""]"
"喜雨","きう","","[""雨喜び""]"
"胡瓜","きうり","","[""""]"
"胡瓜の花","きうりのはな","","[""""]"
"菊挿す","きくさす","","[""菊挿芽"",""挿菊""]"
"木耳","きくらげ","","[""""]"
"鱚","きす","","[""きすご"",""鱚釣""]"
"帰省","きせい","","[""帰省子""]"
"狐の提燈","きつねのちょうちん","きつねのちやうちん","[""宝鐸草の花""]"
"キャベツ","きゃべつ","","[""甘藍"",""玉菜"",""牡丹菜""]"
"キャンプ","きゃんぷ","","[""キャンピング"",""テント"",""バンガロー"",""キャンプ村"",""キャンプファイヤー""]"
"鏡太郎忌","きょうたろうき","","[""""]"
"夾竹桃","きょうちくとう","けふちくとう","[""桃葉紅（とうようこう）""]"
"桐の花","きりのはな","","[""花桐""]"
"金魚","きんぎょ","きんぎよ","[""和金"",""琉金"",""蘭鋳"",""出目金"",""金魚鉢""]"
"金魚売","きんぎょうり","きんぎようり","[""金魚すくい""]"
"金魚草","きんぎょそう","きんぎょさう","[""""]"
"金魚玉","きんぎょだま","きんぎよだま","[""金魚鉢""]"
"祇園祭","ぎおんまつり","ぎをんまつり","[""祇園会"",""祇園御霊会"",""天王祭"",""山鉾"",""祇園囃子"",""祇園太鼓"",""祇園山笠"",""鉾祭"",""鉾立"",""弦召""]"
"羊蹄の花","ぎしぎしのはな","","[""野大黄""]"
"擬宝珠の花","ぎぼうしのはな","","[""花擬宝珠"",""ぎぼし""]"
"牛馬冷す","ぎゅうばひやす","ぎうばひやす","[""牛冷す"",""馬冷す"",""牛洗ふ"",""馬洗ふ""]"
"行水","ぎょうずい","ぎやうずい","[""""]"
"水鶏","くいな","くひな","[""水鶏笛""]"
"草いきれ","くさいきれ","","[""草のいきれ""]"
"草孵蝣","くさかげろう","くさかげろふ","[""臭浮蝣""]"
"草刈","くさかり","","[""朝草刈"",""草刈女"",""草刈籠""]"
"草茂る","くさしげる","","[""茂る草""]"
"草田男忌","くさたおき","くさたをき","[""""]"
"草取","くさとり","","[""草むしり"",""除草""]"
"草笛","くさぶえ","","[""""]"
"草矢","くさや","","[""""]"
"孔雀草","くじゃくそう","くじゃくさう","[""波斯菊"",""蛇の目草""]"
"薬玉","くすだま","","[""長命縷"",""五月玉""]"
"薬狩","くすりがり","","[""薬猟""]"
"樟若葉","くすわかば","","[""楠若葉"",""楠茂る"",""青楠""]"
"葛饅頭","くずまんじゅう","くずまんぢゆう","[""葛桜""]"
"葛水","くずみず","くずみづ","[""""]"
"葛餅","くずもち","","[""葛練"",""葛切""]"
"梔子の花","くちなしのはな","","[""梔子"",""山梔子""]"
"蜘蛛","くも","","[""袋蜘蛛"",""蜘蛛の囲"",""蜘蛛の巣"",""蜘蛛の糸"",""蜘蛛の子"",""女郎蜘蛛""]"
"雲の峰","くものみね","","[""入道雲"",""積乱雲"",""雷雲"",""峰雲""]"
"海月","くらげ","","[""水母"",""水月""]"
"競馬","くらべうま","","[""賀茂の競馬"",""きそひ馬""]"
"鞍馬の竹伐","くらまのたけきり","","[""竹伐"",""竹伐会"",""蓮華会""]"
"栗の花","くりのはな","","[""花栗"",""栗咲く""]"
"胡桃の花","くるみのはな","","[""花胡桃""]"
"黒鯛","くろだい","くろだひ","[""ちぬ"",""ちぬ釣""]"
"黒南風","くろはえ","","[""白南風""]"
"桑の実","くわのみ","くはのみ","[""桑いちご""]"
"グラジオラス","ぐらじおらす","","[""唐菖蒲"",""和蘭あやめ""]"
"競渡","けいと","","[""ペーロン"",""ペーロン船"",""ハーリー"",""爬竜船""]"
"罌栗の花","けしのはな","","[""芥子の花"",""花罌栗"",""芥子""]"
"罌栗坊主","けしぼうず","","[""芥子坊主"",""罌栗の実""]"
"毛虫","けむし","","[""毛虫焼く""]"
"螻蛄","けら","","[""""]"
"健吉忌","けんきちき","","[""""]"
"夏書","げがき","","[""""]"
"夏至","げし","","[""""]"
"蚰蜒","げじげじ","げぢげぢ","[""""]"
"月下美人","げっかびじん","","[""""]"
"源五郎","げんごろう","げんごらう","[""""]"
"げんのしようこ","げんのしようこ","","[""現の証拠"",""神輿草""]"
"原爆忌","げんばくき","","[""原爆の日"",""広島忌"",""長崎忌""]"
"鯉幟","こいのぼり","こひのぼり","[""五月鯉"",""吹流し"",""矢車""]"
"紅蜀葵","こうしょくき","","[""もみじあおい（もみぢあふひ）""]"
"香水","こうすい","かうすい","[""掛香""]"
"蝙蝠","こうもり","かうもり","[""かはほり"",""蚊喰鳥""]"
"氷水","こおりみず","こほりみづ","[""削氷"",""かき氷"",""夏氷"",""氷小豆"",""氷苺"",""氷店""]"
"金亀子","こがねむし","","[""黄金虫"",""かなぶん"",""ぶんぶん"",""ぶんぶん虫""]"
"穀象","こくぞう","","[""穀象虫"",""米の虫""]"
"苔の花","こけのはな","","[""花苔""]"
"木下闇","こしたやみ","","[""木の下闇"",""下闇"",""青葉闇"",""木暮"",""木暮る"",""木暗し""]"
"子供の日","こどものひ","","[""""]"
"木葉木菟","このはずく","このはづく","[""仏法僧"",""声の仏法僧""]"
"小判草","こばんそう","こばんさう","[""俵麦""]"
"駒繋","こまつなぎ","","[""うまつなぎ""]"
"駒鳥","こまどり","","[""こま""]"
"米搗虫","こめつきむし","","[""叩頭虫""]"
"更衣","ころもがえ","ころもがへ","[""衣更ふ""]"
"昆虫採集","こんちゅうさいしゅう","こんちゆうさいしふ","[""捕虫網"",""毒瓶""]"
"昆布刈る","こんぶかる","","[""昆布干す"",""昆布船""]"
"五位鷺","ごいさぎ","","[""""]"
"五月","ごがつ","ごぐわつ","[""五月来る"",""聖五月""]"
"ごきぶり","ごきぶり","","[""油虫"",""ごきかぶり""]"
"極暑","ごくしょ","ごくしよ","[""酷暑"",""劫暑""]"
"胡麻の花","ごまのはな","","[""""]"
"御来迎","ごらいごう","ごらいがう","[""御来光"",""円虹""]"
"鮴汁","ごりじる","","[""""]"
"サイダー","さいだー","","[""冷しサイダー""]"
"早乙女","さおとめ","さをとめ","[""植女"",""五月女""]"
"鷺草","さぎそう","さぎさう","[""""]"
"桜の実","さくらのみ","","[""実桜""]"
"さくらんぼ","さくらんぼ","","[""桜桃の実"",""桜桃""]"
"皐月","さつき","","[""五月"",""早苗月""]"
"さつき","さつき","","[""杜鵑花"",""皐月"",""五月躑躅""]"
"五月富士","さつきふじ","","[""皐月富士"",""雪解富士"",""夏富士""]"
"五月闇","さつきやみ","","[""梅雨闇"",""夏闇""]"
"早苗","さなえ","さなへ","[""捨苗"",""苗篭"",""早苗束"",""苗運び"",""早苗取"",""早苗舟"",""若苗"",""玉苗""]"
"早苗饗","さなぶり","","[""""]"
"鯖","さば","","[""鯖釣"",""鯖火""]"
"仙人掌の花","さぼてんのはな","","[""覇王樹""]"
"五月雨","さみだれ","","[""五月雨"",""さみだる""]"
"晒井","さらしい","さらしゐ","[""井戸替"",""井戸浚""]"
"沙羅双樹","さらそうじゅ","","[""""]"
"沙羅の花","さらのはな","","[""夏椿"",""あからぎ"",""さるなめ"",""姫沙羅""]"
"松蘿","さるおがせ","さるをがせ","[""猿麻桛、さがりごけ""]"
"百日紅","さるすべり","","[""百日紅"",""白さるすべり"",""さるすべり""]"
"サルビア","さるびあ","","[""緋衣草""]"
"サングラス","さんぐらす","","[""""]"
"三光鳥","さんこうちょう","さんくわうてう","[""""]"
"三光鳥","さんこうちょう","","[""""]"
"山椒魚","さんしょううお","さんせううを","[""はんざき""]"
"三社祭","さんじゃまつり","さんじやまつり","[""浅草祭""]"
"撒水車","さんすいしゃ","さんすいしや","[""""]"
"三伏","さんぷく","","[""初伏"",""中伏"",""末伏""]"
"サーフィン","さーふぃん","","[""波乗"",""サーファー"",""ボードデーリング"",""水上スキー""]"
"石榴の花","ざくろのはな","","[""花石榴""]"
"椎の花","しいのはな","しひのはな","[""花椎""]"
"椎若葉","しいわかば","","[""椎茂る"",""青椎""]"
"鹿の子","しかのこ","","[""鹿の子"",""子鹿"",""親鹿""]"
"茂り","しげり","","[""茂る"",""茂み"",""茂し""]"
"四十雀","しじゅうから","しじふから","[""""]"
"紫蘇","しそ","","[""赤紫蘇"",""青紫蘇"",""花紫蘇""]"
"滴り","したたり","","[""""]"
"七月","しちがつ","しちぐわつ","[""""]"
"紙魚","しみ","","[""衣魚"",""きらら"",""雲母虫""]"
"清水","しみず","しみづ","[""真清水"",""山清水"",""岩清水"",""苔清水"",""草清水""]"
"繍線菊","しもつけ","","[""""]"
"著莪の花","しゃがのはな","","[""胡蝶花""]"
"尺蠖","しゃくとり","しやくとり","[""尺取虫"",""寸取虫""]"
"石楠花","しゃくなげ","","[""""]"
"芍薬","しゃくやく","","[""""]"
"蝦蛄","しゃこ","しやこ","[""""]"
"秋櫻子忌","しゅうおうしき","しうあうしき","[""喜雨亭忌"",""紫陽花忌"",""群青忌""]"
"修司忌","しゅうじき","","[""寺山忌"",""修司の忌""]"
"楸邨忌","しゅうそんき","しうそんき","[""達谷忌""]"
"棕櫚の花","しゅろのはな","","[""椶櫚の花""]"
"焼酎","しょうちゅう","せうちう","[""泡盛""]"
"白菖","しょうぶ","","[""菖蒲"",""あやめぐさ""]"
"菖蒲酒","しょうぶざけ","しやうぶざけ","[""""]"
"菖蒲葺く","しょうぶふく","しやうぶふく","[""菖蒲挿す"",""軒菖蒲""]"
"菖蒲湯","しょうぶゆ","しやうぶゆ","[""菖蒲風呂""]"
"小満","しょうまん","せうまん","[""""]"
"蟭螟","しょうめい","せうめい","[""""]"
"初夏","しょか","しよか","[""初夏"",""夏初め"",""首夏"",""孟夏""]"
"暑気中り","しょきあたり","しよきあたり","[""暑さ負け""]"
"暑気払い","しょきばらい","しよきばらひ","[""暑気下し""]"
"暑中見舞","しょちゅうみまい","しよちゆうみまひ","[""土用見舞"",""夏見舞"",""残暑見舞""]"
"白鷺","しらさぎ","","[""""]"
"白玉","しらたま","","[""氷白玉""]"
"紫蘭","しらん","","[""""]"
"代掻く","しろかく","","[""代掻"",""田掻く"",""田掻馬"",""田掻牛"",""代馬"",""代牛"",""田水張る"",""代田""]"
"白絣","しろがすり","","[""白地""]"
"白靴","しろぐつ","","[""""]"
"新藷","しんいも","","[""走り藷"",""新じゃが"",""新馬鈴薯""]"
"新樹","しんじゅ","","[""""]"
"新茶","しんちゃ","しんちや","[""走り茶"",""茶詰"",""古茶""]"
"新緑","しんりょく","","[""緑さす""]"
"森林浴","しんりんよく","","[""""]"
"慈悲心鳥","じひしんちょう","じひしんてう","[""十一""]"
"馬鈴薯の花","じゃがいものはな","","[""じやがたらの花""]"
"十薬","じゅうやく","じふやく","[""どくだみ"",""どくだみの花""]"
"蓴菜","じゅんさい","","[""蓴"",""蓴の花"",""蓴採る"",""蓴舟""]"
"ジューンドロップ","じゅーんどろっぷ","","[""""]"
"上布","じょうふ","じやうふ","[""越後上布"",""薩摩上布""]"
"溽暑","じょくしょ","じよくしよ","[""""]"
"海霧","じり","","[""海霧（かいむ）"",""海霧（うみぎり）"",""ガス""]"
"甚平","じんべい","","[""甚兵衛"",""じんべ""]"
"西瓜","すいか","すいくわ","[""西瓜畑"",""西瓜番""]"
"忍冬の花","すいかずらのはな","","[""忍冬""]"
"水中花","すいちゅうか","すいちゆうくわ","[""酒中花""]"
"水中眼鏡","すいちゅうめがね","すいちゆうめがね","[""水眼鏡""]"
"水飯","すいはん","","[""水飯"",""洗ひ飯"",""水漬""]"
"睡蓮","すいれん","","[""ひつじぐさ""]"
"すぐり","すぐり","","[""カシス"",""くろすぐり"",""すぐりの実"",""グーズベリー"",""カラント"",""カーランツ"",""ふさすぐり""]"
"鮓","すし","","[""鮨"",""馴鮓"",""押鮓"",""握鮓"",""早鮓"",""一夜鮓"",""巻鮓""]"
"涼し","すずし","","[""朝涼"",""夕涼"",""晩涼"",""夜涼"",""涼風""]"
"篠の子","すずのこ","","[""笹の子"",""芽笹""]"
"納涼","すずみ","","[""納涼"",""門涼み"",""橋涼み"",""夕涼み"",""夜涼み"",""涼み台"",""納涼船""]"
"鈴蘭","すずらん","","[""君影草""]"
"すててこ","すててこ","","[""""]"
"李","すもも","","[""""]"
"諏訪の御柱祭","すわのおんばしらまつり","すはのおんばしらまつり","[""御柱祭"",""諏訪祭""]"
"盛夏","せいか","","[""夏旺ん"",""真夏"",""真夏日""]"
"石菖","せきしょう","せきしやう","[""石あやめ""]"
"石竹","せきちく","","[""唐撫子""]"
"雪渓","せっけい","せつけい","[""""]"
"蟬","せみ","","[""油蟬"",""みんみん"",""熊蟬"",""にいにい蟬"",""唖蟬"",""初蟬"",""朝蟬"",""夕蟬"",""夜蟬"",""蟬時雨"",""落蟬"",""蝉""]"
"蝉丸忌","せみまるき","","[""蝉丸祭""]"
"セル","せる","","[""""]"
"千日草","せんにちそう","せんにちさう","[""千日紅""]"
"扇風機","せんぷうき","","[""""]"
"宗吾忌","そうごき","","[""""]"
"蒼朮を焚く","そうじゅつをたく","さうじゆつをたく","[""をけらたく"",""うけら焼く""]"
"走馬灯","そうまとう","","[""回り灯篭""]"
"蚕豆","そらまめ","","[""空豆"",""はじき豆""]"
"ソーダ水","そーだすい","","[""""]"
"泰山木の花","たいざんぼくのはな","","[""""]"
"大暑","たいしょ","たいしよ","[""""]"
"田植","たうえ","たうゑ","[""田植笠"",""田植歌"",""田植時""]"
"多佳子忌","たかこき","","[""""]"
"たかし忌","たかしき","","[""牡丹忌""]"
"簟","たかむしろ","","[""竹筵"",""籐筵""]"
"滝","たき","","[""瀑"",""瀑布"",""飛瀑"",""滝壷"",""滝しぶき"",""滝風"",""滝道"",""男滝"",""女滝"",""滝見"",""滝見茶屋""]"
"滝浴び","たきあび","","[""滝垢離"",""滝行"",""滝行者""]"
"薪能","たきぎのう","","[""興福寺の薪能"",""若宮能"",""芝能"",""薪猿楽""]"
"滝殿","たきどの","","[""泉殿"",""釣殿"",""水殿"",""水亭""]"
"田草取","たぐさとり","","[""田草引く"",""一番草"",""二番草"",""三番草""]"
"竹落葉","たけおちば","","[""""]"
"竹煮草","たけにぐさ","","[""""]"
"竹の皮脱ぐ","たけのかわぬぐ","たけのかはぬぐ","[""竹皮を脱ぐ"",""竹の皮散る"",""竹の皮""]"
"筍","たけのこ","","[""笋"",""竹の子"",""たかんな"",""たかうな""]"
"筍飯","たけのこめし","","[""""]"
