"kigo","yomigana","kyukana","bodai"
"枯芭蕉","かればしょう","かればせう","[""芭蕉枯る""]"
"枯芙蓉","かれふよう","","[""芙蓉の実""]"
"枯葎","かれむぐら","","[""""]"
"枯柳","かれやなぎ","","[""冬柳""]"
"カレンダー","かれんだー","","[""""]"
"革衣","かわごろも","かはごろも","[""革ジャンパー"",""革ジャン"",""裘（かわごろも）""]"
"河郎忌","かわろうき","","[""""]"
"寒","かん","","[""寒中"",""寒の内"",""寒九"",""寒四郎""]"
"寒葵","かんあおい","かんあふひ","[""""]"
"寒猿","かんえん","","[""寒の猿"",""冬の猿"",""かじけ猿""]"
"寒鴉","かんがらす","","[""寒鴉"",""冬鴉""]"
"寒灸","かんきゅう","かんきう","[""寒やいと""]"
"寒菊","かんぎく","","[""冬菊"",""霜菊"",""しまかんぎく""]"
"寒稽古","かんげいこ","","[""寒中稽古"",""寒復習""]"
"寒鯉","かんごい","かんごひ","[""凍鯉"",""寒鯉釣""]"
"寒声","かんごえ","かんごゑ","[""""]"
"寒肥","かんごえ","","[""寒肥"",""寒ごやし""]"
"寒垢離","かんごり","","[""寒行""]"
"寒晒","かんざらし","","[""寒曝""]"
"寒蜆","かんしじみ","","[""冬蜆""]"
"甘蔗刈","かんしょかり","","[""甘蔗刈""]"
"樏","かんじき","","[""アイゼン""]"
"寒雀","かんすずめ","","[""冬雀"",""凍雀"",""ふくら雀""]"
"寒施行","かんせぎょう","かんせぎやう","[""野施行"",""穴施行""]"
"寒卵","かんたまご","","[""""]"
"寒中水泳","かんちゅうすいえい","","[""寒泳""]"
"寒潮","かんちょう","かんてう","[""冬の潮"",""冬潮""]"
"寒椿","かんつばき","","[""冬椿""]"
"寒造","かんづくり","","[""""]"
"寒釣","かんづり","","[""穴釣""]"
"寒天製す","かんてんせいす","","[""寒天造る""]"
"神無月","かんなづき","","[""かみなづき"",""神去月"",""神有月"",""時雨月"",""初霜月""]"
"寒念仏","かんねんぶつ","","[""""]"
"寒の入","かんのいり","","[""寒に入る""]"
"寒の水","かんのみず","かんのみづ","[""寒水""]"
"寒晴","かんばれ","","[""寒日和""]"
"寒波","かんぱ","","[""寒波来る""]"
"寒弾","かんびき","","[""""]"
"寒鮒","かんぶな","","[""寒鮒釣""]"
"寒紅","かんべに","","[""""]"
"寒木瓜","かんぼけ","","[""""]"
"寒牡丹","かんぼたん","","[""冬牡丹""]"
"寒参","かんまいり","かんまゐり","[""寒詣"",""裸参""]"
"寒見舞","かんみまい","かんみまひ","[""寒中見舞"",""雪見舞""]"
"寒餅","かんもち","","[""""]"
"寒林","かんりん","","[""寒木""]"
"外套","がいとう","ぐわいたう","[""オーバー"",""コート""]"
"賀状書く","がじょうかく","がじやうかく","[""""]"
"雁木","がんぎ","","[""""]"
"北風","きたかぜ","","[""北風"",""冬の風"",""朔風"",""寒風"",""北吹く""]"
"北窓塞ぐ","きたまどふさぐ","","[""北塞ぐ""]"
"狐","きつね","","[""きつ""]"
"狐火","きつねび","","[""鬼火"",""狐の提灯""]"
"狐罠","きつねわな","","[""""]"
"着ぶくれ","きぶくれ","","[""""]"
"切干","きりぼし","","[""""]"
"勤労感謝の日","きんろうかんしゃのひ","","[""""]"
"義士会","ぎしかい","","[""義士会（ぎしえ）"",""義士討入の日""]"
"空也忌","くうやき","","[""空也念仏""]"
"茎漬","くきづけ","","[""菜漬""]"
"嚔","くさめ","","[""くしやみ"",""はなひる""]"
"鯨","くじら","くぢら","[""勇魚""]"
"鯨汁","くじらじる","","[""鯨鍋""]"
"薬喰","くすりぐい","くすりぐひ","[""紅葉鍋""]"
"葛晒す","くずさらす","","[""葛晒し""]"
"葛湯","くずゆ","","[""""]"
"口切","くちきり","","[""""]"
"熊","くま","","[""羆"",""熊の子"",""熊穴に入る""]"
"熊突","くまつき","","[""穴熊狩""]"
"熊祭","くままつり","","[""熊送り"",""贄の熊"",""イオマンテ"",""カムイヨマンテ""]"
"クリオネ","くりおね","","[""はだかかめがい""]"
"クリスマス","くりすます","","[""降誕祭"",""聖誕節"",""聖夜"",""聖歌"",""クリスマスツリー"",""聖樹"",""クリスマスケーキ"",""サンタクロース"",""聖夜劇"",""クリスマスイブ""]"
"けあらし","けあらし","","[""気嵐""]"
"毛糸編む","けいとあむ","","[""毛糸"",""毛糸玉""]"
"毛皮","けがわ","けがは","[""毛皮売"",""毛皮店""]"
"毛衣","けごろも","","[""裘"",""皮衣""]"
"厳寒","げんかん","","[""極寒"",""酷寒"",""厳冬""]"
"降誕祭","こうたんさい","","[""""]"
"氷","こおり","こほり","[""厚氷"",""氷面鏡"",""氷点下"",""結氷""]"
"凍る","こおる","こほる","[""氷る"",""凍つ"",""冱つ"",""凍む"",""冰る""]"
"木枯","こがらし","","[""凩""]"
"炬燵","こたつ","","[""切炬燵"",""置炬燵"",""掘炬燵""]"
"木の葉","このは","","[""木の葉雨"",""木の葉散る""]"
"木の葉髪","このはがみ","","[""""]"
"海鼠腸","このわた","","[""このわた""]"
"小春","こはる","","[""小春日"",""小春日和"",""小六月""]"
"氷下魚","こまい","","[""氷下魚釣"",""氷下魚汁""]"
"暦売","こよみうり","","[""""]"
"蒟蒻掘る","こんにゃくほる","","[""蒟蒻干す""]"
"御用納","ごようおさめ","ごようをさめ","[""仕事納""]"
"笹鳴","ささなき","","[""笹子鳴く""]"
"山茶花","さざんか","さざんくわ","[""姫椿""]"
"札幌雪祭","さっぽろゆきまつり","","[""雪祭"",""氷像"",""雪像""]"
"里神楽","さとかぐら","","[""宮神楽"",""夜神楽"",""湯立神楽"",""遠山祭""]"
"寒し","さむし","","[""寒さ"",""寒気"",""寒冷""]"
"鮫","さめ","","[""鱶""]"
"冴ゆ","さゆ","","[""""]"
"三寒四温","さんかんしおん","さんかんしをん","[""三寒"",""四温"",""四温日和""]"
"三平汁","さんぺいじる","","[""""]"
"朱欒","ざぼん","","[""うちむらさき"",""文旦"",""ぼんたん""]"
"塩鮭","しおざけ","しほざけ","[""新巻""]"
"敷松葉","しきまつば","","[""""]"
"時雨","しぐれ","","[""時雨るる"",""朝時雨"",""夕時雨"",""小夜時雨"",""村時雨"",""片時雨""]"
"柳葉魚","ししゃも","","[""""]"
"歯朶刈","しだかり","","[""""]"
"七五三","しちごさん","","[""七五三の祝"",""七五三祝"",""千歳飴""]"
"凍豆腐","しみどうふ","","[""氷豆腐"",""寒豆腐"",""高野豆腐"",""凍豆腐造る""]"
"注連飾る","しめかざる","","[""""]"
"注連作","しめつくり","","[""""]"
"霜","しも","","[""霜の花"",""大霜"",""深霜"",""強霜"",""朝霜"",""夜霜"",""霜晴"",""霜凪"",""霜雫"",""霜解"",""霜の声""]"
"霜枯","しもがれ","","[""""]"
"霜月","しもつき","","[""霜降月""]"
"霜柱","しもばしら","","[""""]"
"霜焼","しもやけ","","[""凍傷"",""霜腫""]"
"霜夜","しもよ","","[""""]"
"霜除","しもよけ","","[""""]"
"社会鍋","しゃかいなべ","しやくわいなべ","[""慈善鍋""]"
"小寒","しょうかん","せうかん","[""""]"
"正月事始","しょうがつことはじめ","しやうぐあつことはじめ","[""事始""]"
"障子","しょうじ","しやうじ","[""冬障子"",""腰障子"",""明り障子""]"
"ショール","しょーる","","[""肩掛""]"
"師走","しわす","しはす","[""極月"",""臘月"",""春待月""]"
"神農祭","しんのうさい","","[""神農の虎""]"
"新海苔","しんのり","","[""寒海苔""]"
"ジャケツ","じゃけつ","","[""""]"
"十一月","じゅういちがつ","じふいちぐわつ","[""""]"
"絨緞","じゅうたん","","[""緞通"",""カーペット""]"
"十二月","じゅうにがつ","じふにぐわつ","[""""]"
"十夜","じゅうや","じふや","[""十夜法要"",""お十夜"",""十夜粥"",""十夜婆""]"
"樹氷","じゅひょう","","[""木華"",""霧の花"",""樹氷林""]"
"除夜","じょや","ぢよや","[""除夕"",""年の夜""]"
"除夜の鐘","じょやのかね","ぢよやのかね","[""""]"
"除夜詣","じょやもうで","ぢよやもうで","[""年越詣"",""節分詣"",""年越参""]"
"水仙","すいせん","","[""水仙花"",""雪中花""]"
"すが漏り","すがもり","","[""""]"
"隙間風","すきまかぜ","","[""""]"
"鋤焼","すきやき","","[""牛鍋"",""馬肉鋤"",""桜鍋""]"
"スキー","すきー","","[""スキー場"",""スキーヤー"",""ゲレンデ"",""シャンツェ""]"
"酢茎","すぐき","","[""""]"
"スケート","すけーと","","[""氷滑り"",""スケート場""]"
"煤払","すすはらい","すすはらひ","[""煤掃"",""煤竹"",""煤篭"",""煤湯""]"
"ストーブ","すとーぶ","","[""暖炉"",""ペチカ""]"
"炭","すみ","","[""炭火"",""埋火"",""消炭"",""炭斗"",""炭篭"",""炭売"",""炭屋"",""炭俵""]"
"炭焼","すみやき","","[""炭焼小屋"",""炭焼竃"",""炭竃""]"
"頭巾","ずきん","づきん","[""""]"
"青邨忌","せいそんき","","[""""]"
"青畝忌","せいほき","","[""万両忌""]"
"咳","せき","","[""咳く"",""咳く""]"
"石炭","せきたん","","[""""]"
"節分","せつぶん","","[""大原雑魚寝""]"
"背蒲団","せなぶとん","","[""肩蒲団"",""腰蒲団"",""負真綿""]"
"千両","せんりょう","せんりやう","[""仙蓼"",""実千両""]"
"セーター","せーたー","","[""カーディガン""]"
"草城忌","そうじょうき","さうじやうき","[""""]"
"漱石忌","そうせきき","","[""""]"
"早梅","そうばい","さうばい","[""梅早し""]"
"蘇鉄の実","そてつのみ","","[""""]"
"蕎麦掻","そばがき","","[""蕎麦湯""]"
"橇","そり","","[""馬橇"",""犬橇"",""手橇"",""雪車""]"
"雑炊","ぞうすい","ざふすい","[""おじや""]"
"鯛焼","たいやき","","[""今川焼""]"
"鷹","たか","","[""大鷹"",""小鷹"",""さしば"",""隼""]"
"鷹狩","たかがり","","[""鷹匠"",""鷹野""]"
"焚火","たきび","","[""""]"
"沢庵","たくあん","","[""沢庵漬"",""沢庵漬製す"",""大根漬く""]"
"竹馬","たけうま","","[""""]"
"畳替","たたみがえ","たたみがへ","[""""]"
"竹瓮","たっぺ","","[""""]"
"炭団","たどん","","[""豆炭""]"
"狸","たぬき","","[""たのき"",""むじな""]"
"狸汁","たぬきじる","","[""""]"
"狸罠","たぬきわな","","[""""]"
"足袋","たび","","[""白足袋"",""色足袋""]"
"玉子酒","たまござけ","","[""卵酒""]"
"鱈","たら","","[""雪魚"",""真鱈"",""助宗鱈"",""鱈場"",""鱈船"",""子持鱈"",""鱈汁""]"
"短日","たんじつ","","[""日短"",""日短し"",""暮早し"",""暮易し""]"
"探梅","たんばい","","[""梅探る"",""探梅行""]"
"大寒","だいかん","","[""寒土用""]"
"大根焚","だいこたき","","[""鳴滝の大根焚""]"
"大根の葉","だいこのは","","[""""]"
"大根","だいこん","","[""だいこ"",""おほね"",""すずしろ"",""大根畑""]"
"大根洗ふ","だいこんあらう","だいこんあらふ","[""""]"
"大根引","だいこんひき","","[""大根引""]"
"大根干す","だいこんほす","","[""懸大根"",""干大根""]"
"大師講","だいしこう","","[""""]"
"ダイヤモンドダスト","だいやもんどだすと","","[""細氷""]"
"達磨忌","だるまき","","[""初祖忌"",""少林忌""]"
"暖房","だんぼう","だんばう","[""スチーム"",""ヒーター"",""暖房車""]"
"近松忌","ちかまつき","","[""巣林子忌""]"
"秩父夜祭","ちちぶよまつり","","[""""]"
"千鳥","ちどり","","[""鵆"",""磯千鳥"",""浜千鳥"",""川千鳥"",""夕千鳥"",""小夜千鳥"",""群千鳥"",""友千鳥"",""遠千鳥"",""鳴く千鳥""]"
"茶の花","ちゃのはな","","[""""]"
"ちやんちやんこ","ちやんちやんこ","","[""袖無""]"
"追儺","ついな","","[""鬼やらひ"",""なやらひ""]"
"石蕗の花","つはのはな","","[""つ吾の花"",""石蕗の花"",""石蕗""]"
"冷たし","つめたし","","[""底冷え""]"
"氷柱","つらら","","[""垂氷"",""草氷柱""]"
"鶴","つる","","[""凍鶴"",""冬の鶴""]"
"貞徳忌","ていとくき","","[""""]"
"手袋","てぶくろ","","[""皮手袋"",""マフ""]"
"天皇誕生日","てんのうたんじょうび","てんわうたんじやうび","[""""]"
"電気毛布","でんきもうふ","","[""""]"
"冬耕","とうこう","とうかう","[""""]"
"冬至","とうじ","","[""冬至粥"",""冬至南瓜""]"
"冬眠","とうみん","","[""""]"
"年惜しむ","としおしむ","としをしむ","[""""]"
"年木樵","としきこり","","[""節木樵"",""年木積む"",""年木売""]"
"年越","としこし","","[""年を越す""]"
"年篭","としごもり","","[""年籠""]"
"年の市","としのいち","","[""""]"
"年の内","としのうち","","[""年内""]"
"年の暮","としのくれ","","[""歳暮"",""歳晩"",""歳末"",""年末"",""年歩む"",""年の瀬"",""年の果"",""年暮るる""]"
"年守る","としまもる","","[""""]"
"年用意","としようい","","[""春支度""]"
"年忘","としわすれ","","[""忘年会""]"
"寅彦忌","とらひこき","","[""""]"
"酉の市","とりのいち","","[""お酉さま"",""酉の町"",""一の酉"",""二の酉"",""三の酉"",""おかめ市"",""熊手""]"
"泥鰌掘る","どじょうほる","どぢやうほる","[""""]"
"褞袍","どてら","","[""丹前""]"
"納豆汁","なっとじる","","[""""]"
"名の木枯る","なのきかる","","[""蔦枯る"",""銀杏枯る"",""葡萄枯る"",""欅枯る"",""冬欅""]"
"名の草枯る","なのくさかる","","[""名草枯る""]"
"鍋焼","なべやき","","[""鍋焼饂飩""]"
"海鼠","なまこ","","[""酢海鼠""]"
"波の花","なみのはな","","[""浪の華"",""潮花""]"
"煮凝","にこごり","","[""煮凍""]"
"日記買う","にっきかう","につきかふ","[""古日記""]"
"日記果つ","にっきはつ","","[""""]"
"人参","にんじん","","[""胡蘿蔔""]"
"葱","ねぎ","","[""葱"",""一文字"",""根深"",""葉葱"",""葱畑""]"
"根深汁","ねぶかじる","","[""葱汁""]"
"ねんねこ","ねんねこ","","[""ねんねこばんてん""]"
"年末賞与","ねんまつしょうよ","","[""年末手当"",""ボーナス""]"
"のっぺい汁","のっぺいじる","","[""のつぺ　濃餅汁""]"
"袴着","はかまぎ","","[""""]"
"掃納","はきおさめ","はきをさめ","[""""]"
"波郷忌","はきょうき","はきやうき","[""""]"
"白菜","はくさい","","[""""]"
"白鳥","はくちょう","はくてう","[""スワン"",""鵠"",""大白鳥"",""黒鳥""]"
"羽子板市","はごいたいち","","[""""]"
"蓮根掘る","はすねほる","","[""蓮掘""]"
"鰰","はたはた","","[""雷魚"",""かみなりうを""]"
"鉢叩","はちたたき","","[""""]"
"初氷","はつごおり","はつごほり","[""""]"
"初時雨","はつしぐれ","","[""""]"
"初霜","はつしも","","[""""]"
"初冬","はつふゆ","","[""初冬"",""冬初め"",""冬浅し""]"
"初雪","はつゆき","","[""新雪""]"
"葉牡丹","はぼたん","","[""""]"
"針供養","はりくよう","はりくやう","[""針休み"",""針納め""]"
"春近し","はるちかし","","[""春隣"",""春信""]"
"春待つ","はるまつ","","[""春を待つ"",""待春""]"
"阪神大震災忌","はんしんだいしんさいき","","[""""]"
"芭蕉忌","ばしょうき","ばせうき","[""時雨忌"",""桃青忌"",""翁忌""]"
"日脚伸ぶ","ひあしのぶ","","[""""]"
"避寒","ひかん","","[""避寒宿""]"
"久女忌","ひさじょき","ひさぢよき","[""""]"
"膝掛","ひざかけ","","[""""]"
"日向ぼこ","ひなたぼこ","","[""日向ぼつこ"",""日向ぼこり""]"
"火の番","ひのばん","","[""夜番"",""夜廻"",""夜警"",""寒柝""]"
"火鉢","ひばち","","[""火桶"",""手焙"",""手炉""]"
"柊挿す","ひひらぎさす","","[""焼嗅し""]"
"柊の花","ひひらぎのはな","","[""花柊""]"
"胼","ひび","","[""胼薬""]"
"氷海","ひょうかい","","[""海氷る"",""凍港"",""氷原"",""氷江""]"
"氷湖","ひょうこ","","[""湖氷る"",""冬の湖"",""冬の沼""]"
"鰭酒","ひれざけ","","[""身酒""]"
"枇杷の花","びはのはな","","[""花枇杷""]"
"屏風","びょうぶ","びやうぶ","[""枕屏風""]"
"鞴祭","ふいごまつり","","[""踏鞴祭"",""ほど祭"",""鍛冶祭""]"
"梟","ふくろう","ふくろふ","[""ふくろ""]"
"河豚","ふぐ","","[""ふぐと"",""ふく""]"
"河豚汁","ふぐじる","","[""ふぐと汁"",""ふぐ鍋"",""ちり鍋""]"
"柴漬","ふしづけ","","[""""]"
"衾","ふすま","","[""紙衾""]"
"襖","ふすま","","[""唐紙""]"
"札納","ふだおさめ","ふだをさめ","[""納札""]"
"懐手","ふところで","","[""""]"
"蒲団","ふとん","","[""干蒲団""]"
"吹雪","ふぶき","","[""地吹雪"",""雪煙"",""雪浪""]"
"冬","ふゆ","","[""三冬"",""九冬"",""玄冬"",""冬帝"",""冬将軍""]"
"冬暖か","ふゆあたたか","","[""暖冬"",""冬ぬくし""]"
"冬安居","ふゆあんご","","[""雪安居""]"
"冬苺","ふゆいちご","","[""寒苺""]"
"冬鷗","ふゆかもめ","","[""鷗"",""鴎""]"
"冬霞","ふゆがすみ","","[""冬の霞"",""寒霞""]"
"冬構","ふゆがまえ","ふゆがまへ","[""冬囲""]"
"冬枯","ふゆがれ","","[""枯る""]"
"冬木","ふゆき","","[""冬木立"",""冬木影"",""冬木道"",""冬木宿""]"
"冬草","ふゆくさ","","[""冬の草"",""冬青草""]"
"冬籠","ふゆごもり","","[""雪篭"",""冬篭""]"
"冬桜","ふゆざくら","","[""寒桜"",""緋寒桜"",""寒緋桜""]"
"冬座敷","ふゆざしき","","[""""]"
"冬ざれ","ふゆざれ","","[""冬ざるる""]"
"冬菫","ふゆすみれ","","[""寒菫""]"
"冬薔薇","ふゆそうび","ふゆさうび","[""冬薔薇"",""寒薔薇""]"
"冬田","ふゆた","","[""冬の田"",""冬田道""]"
"冬尽く","ふゆつく","","[""冬終る"",""冬の名残"",""冬去る""]"
"冬菜","ふゆな","","[""冬菜畑"",""冬菜売""]"
"冬凪","ふゆなぎ","","[""寒凪""]"
"冬虹","ふゆにじ","","[""""]"
"冬野","ふゆの","","[""冬の野"",""冬の原"",""雪野"",""雪原""]"
"冬の朝","ふゆのあさ","","[""冬曙"",""寒暁""]"
"冬の虻","ふゆのあぶ","","[""""]"
"冬の雨","ふゆのあめ","","[""寒の雨""]"
"冬の鴬","ふゆのうぐいす","ふゆのうぐひす","[""寒鴬"",""鴬の子"",""笹子"",""薮鴬""]"
"冬の海","ふゆのうみ","","[""冬海"",""冬の浜""]"
"冬の梅","ふゆのうめ","","[""冬梅"",""寒梅"",""寒紅梅"",""冬至梅""]"
"冬の雁","ふゆのかり","","[""寒雁""]"
"冬の川","ふゆのかわ","ふゆのかは","[""冬川"",""冬川原""]"
"冬の霧","ふゆのきり","","[""冬霧""]"
"冬の雲","ふゆのくも","","[""冬雲"",""凍雲"",""寒雲""]"
"冬の暮","ふゆのくれ","","[""冬の夕"",""寒暮""]"
"冬の空","ふゆのそら","","[""冬天"",""寒天"",""寒空"",""冬空""]"
"冬の蝶","ふゆのちょう","ふゆのてふ","[""冬蝶"",""凍蝶""]"
"冬の月","ふゆのつき","","[""寒月"",""冬三日月"",""月冴ゆ"",""月氷る""]"
"冬の鳥","ふゆのとり","","[""寒禽""]"
"冬の波","ふゆのなみ","","[""冬浪"",""冬涛"",""寒涛"",""冬怒濤""]"
"冬の虹","ふゆのにじ","","[""""]"
"冬の蠅","ふゆのはえ","ふゆのはへ","[""冬蝿""]"
"冬の蜂","ふゆのはち","","[""冬蜂"",""凍蜂""]"
"冬の日","ふゆのひ","","[""冬日"",""冬日向"",""冬日影""]"
"冬の燈","ふゆのひ","","[""冬の灯"",""冬燈"",""冬灯"",""冬ともし"",""寒燈"",""寒灯""]"
"冬の星","ふゆのほし","","[""寒星"",""荒星"",""凍星"",""冬銀河"",""星冴ゆ"",""オリオン"",""寒昴"",""シリウス"",""天狼""]"
"冬の水","ふゆのみず","ふゆのみづ","[""冬の泉"",""寒泉""]"
"冬の虫","ふゆのむし","","[""""]"
"冬の鵙","ふゆのもず","","[""""]"
"冬の靄","ふゆのもや","","[""冬靄"",""寒靄""]"
"冬の山","ふゆのやま","","[""冬山"",""枯山"",""雪山"",""冬嶺"",""雪嶺"",""冬山路"",""冬山家""]"
"冬の夕焼","ふゆのゆうやけ","ふゆのゆふやけ","[""寒夕焼"",""冬茜"",""寒茜"",""寒落暉""]"
"冬の夜","ふゆのよ","","[""夜半の冬"",""寒夜""]"
"冬の雷","ふゆのらい","","[""寒雷""]"
"冬花火","ふゆはなび","","[""""]"
"冬晴","ふゆばれ","","[""冬日和"",""冬麗"",""冬うらら""]"
"冬旱","ふゆひでり","","[""寒旱""]"
"冬雲雀","ふゆひばり","","[""""]"
"冬深し","ふゆふかし","","[""冬深む"",""暮の冬"",""真冬""]"
"冬服","ふゆふく","","[""冬着"",""冬シャツ"",""皮羽織""]"
"冬帽子","ふゆぼうし","","[""冬帽""]"
"冬めく","ふゆめく","","[""""]"
"冬萌","ふゆもえ","","[""冬木の芽"",""冬芽""]"
"冬紅葉","ふゆもみじ","ふゆもみぢ","[""""]"
"冬館","ふゆやかた","","[""冬の家"",""冬の宿""]"
"冬休み","ふゆやすみ","","[""""]"
"古暦","ふるごよみ","","[""暦の果"",""暦の終り""]"
"風呂吹","ふろふき","","[""風呂吹大根""]"
"蕪村忌","ぶそんき","","[""春星忌"",""夜半亭忌""]"
"仏手柑","ぶっしゅかん","","[""ぶしゅ柑""]"
"鰤","ぶり","","[""寒鰤""]"
"鰤網","ぶりあみ","","[""鰤場""]"
"鰤起し","ぶりおこし","","[""""]"
"碧梧桐忌","へきごとうき","","[""寒明忌""]"
